,Product Name,Price In INR,Ratings,Features & Colour
0,Arctic Fox Wired USB Gaming Mouse with Breathing Lights...,₹199,4.3,"USB 3.0, Blue, Black"
1,"Logitech G102 Light Sync / Adj DPI Upto 8000, 6 Program...","₹1,295",4.5,"USB 2.0, Black"
2,ENTWINO F-1 Gaming Mouse Wired For Compute Wired Optica...,₹275,4.1,"USB 2.0, Black"
3,ZEBRONICS ZEB-TRANSFORMER-M Wired Optical  Gaming Mouse,₹342,4.5,"USB 3.0, Black"
4,Redgear A-10 Gaming Mouse with LED and DPI Upto 2400 Wi...,₹499,4.5,"USB 2.0, USB 3.0, Black"
5,Zupero MFTEK Gaming Wired Mouse For PC and Laptops Wire...,₹549,4.4,"USB 2.0, Multicolor"
6,RPM Euro Games Rechargeable - 500 mAh Battery | Upto 32...,₹499,4.2,"2.4GHz Wireless, Black"
7,"zebion Ninja M Light Sync / Adj DPI Upto 3200, 6 Progra...",₹249,4,"USB 2.0, Black"
8,HP 1000 Wired Optical Mouse,₹219,4.3,"USB 3.0, USB 2.0, Black"
9,Flipkart SmartBuy Power Wired Optical Mouse,₹175,4.2,"USB 3.0, Midnight Black"
10,AMKETTE EvoFox Shade with 3600 DPI Gaming Sensor and 7 ...,₹399,4.4,"USB 2.0, USB 3.0, Grey"
11,"Kreo Hawk Wired Gaming Mouse, Pixart Sensor, RGB Mouse,...","₹1,305",4.5,"USB 2.0, Black"
12,"Logitech M220 / Silent Buttons, 1000 DPI Tracking, Ambi...",₹699,4.5,"USB 2.0, Grey"
13,Flipkart SmartBuy WMR23DP01 Wired Optical Mouse,₹195,4.2,"USB 3.0, Grey, Black"
14,"Razer Death Adder Essential / Lightweight(96gms) ,Chrom...",₹999,4.5,"USB 3.0, White"
15,"Razer Death Adder Essential / Lightweight(96gms) ,Chrom...",₹999,4.5,"USB 3.0, Black"
16,Kreo Chimera Wired Optical  Gaming Mouse,"₹1,999",4.4,"USB 2.0, Wired, Black"
17,EVOFOX mouse Wired Laser  Gaming Mouse,₹499,4.4,"2.4GHz Wireless, Black"
18,HP M270 Wired Optical  Gaming Mouse,₹390,4.2,"USB 3.0, Black"
19,RPM Euro Games Wireless Gaming Mouse | Rechargeable Bat...,₹499,4.5,"2.4GHz Wireless, Black"
20,"Aula S80 Transparent RGB, 7200 DPI, 7 buttons PC Wired ...","₹1,099",4.2,"USB 2.0, Transparent White"
21,"Logitech G502 Hero / Hero 25K Sensor, Adj DPI Upto 2560...","₹3,895",4.1,"USB 2.0, Black"
22,RPM Euro Games Wireless Gaming Mouse | Rechargeable-500...,₹528,4.5,"2.4GHz Wireless, Blue"
23,zebion Candy Wireless Optical Mouse,₹199,4.4,"2.4GHz Wireless, Red"
24,"AMKETTE EvoFox Shadow with 3600 DPI Gaming Sensor, 6 Bu...",₹379,4.9,"USB 2.0, USB 3.0, Black"
25,HP M160 Wired Optical  Gaming Mouse,₹249,4.4,"USB 3.0, Black"
26,"Kreo Falcon Wired Gaming Mouse, Pixart Sensor, RGB Mous...","₹1,266",4.3,"USB 2.0, Black"
27,PRODOT High-Performance Ergonomic Design Curvy Wired Mo...,₹200,4.4,"USB 2.0, Black"
28,Zoook Bomber Wired Optical  Gaming Mouse,₹239,4.3,"USB 2.0, Black"
29,Wings Crosshair 100 Wired Optical  Gaming Mouse,₹399,4.2,"USB 3.0, Black"
30,PHILIPS SPK9304 Wired Optical  Gaming Mouse,₹445,4.3,"USB 2.0, Black"
31,"Offbeat DASH 2.4GHz Wireless + Bluetooth 5.1 Mouse, Dua...","₹1,099",4.3,"2.4GHz Wireless, Bluetooth, Black"
32,Offbeat RIPJAW 2.4Ghz Rechargeable Wireless Gaming Mous...,₹949,4,"2.4GHz Wireless, Black"
33,HP 150 Wired Mouse Wired Optical Mouse,₹329,4.1,"USB 2.0, Black"
34,ZEBRONICS USB Comfort + Wired Optical Mouse,₹99,4.3,"USB 2.0, Black"
35,ZEBRONICS ZEB-RISE Wired Optical Mouse,₹89,4,"USB 2.0, Black"
36,Offbeat Ripjaw Bluetooth 5.1 + 2.4 Ghz Wireless Gaming ...,"₹1,290",4.1,"Bluetooth, 2.4GHz Wireless, Black"
37,Meetion MT-M990S Wired Optical  Gaming Mouse,₹799,4.2,"USB 3.0, Black, Silver"
38,"Ant Esports GM40 /RGB LED, Lightweight (115 gms) ,Ergon...",₹149,3.6,"USB 3.0, Black"
39,ZEBRONICS Zeb-Power Wired Optical Mouse,₹99,4.3,"USB 2.0, Black"
